id,from_id,to_id,road_name,bidirectional,distance_km,travel_time_min,traffic
e1,n1,n2,Valfajr,TRUE,2.693,2.308285714,0.3
e2,n2,n3,Emam Reza,TRUE,1.927,1.651714286,0.6
e3,n1,n4,SH.Deh Haghi,TRUE,3.018,2.586857143,0.3
e4,n1,n22,Basij,TRUE,3.867,3.314571429,0.6
e5,n3,n4,Khavaran,TRUE,6.122,5.247428571,0.6
e6,n3,n5,SH.Hossein Salami,TRUE,2.374,2.034857143,0.6
e7,n3,n6,SH.Hossein Salami,TRUE,2.438,2.089714286,0.6
e8,n6,n7,Emam Ali,TRUE,1.91,1.637142857,0.85
e9,n6,n10,SH.Ebrahim Raesi,TRUE,4.674,4.006285714,0.6
e10,n5,n11,SH.Hossein Salami,TRUE,4.195,3.595714286,0.6
e11,n10,n11,SH.Rajaee,TRUE,1.69,1.448571429,0.3
e12,n10,n12,SH.Tondgouyan,TRUE,1.95,1.671428571,0.6
e13,n11,n12,SH.Tondgouyan,TRUE,1.45,1.242857143,0.6
e14,n13,n14,Azadegan,TRUE,5,4.285714286,0.6
e15,n14,n15,A.Mahdavi Kani,TRUE,4.472,3.833142857,0.6
e16,n15,n16,A.Mahdavi Kani,TRUE,4.151,3.558,0.6
e17,n12,n17,A.Saeedi,TRUE,7.537,6.460285714,0.6
e18,n9,n18,Kargar,TRUE,3.477,2.980285714,0.85
e19,n18,n19,15 Khordad,TRUE,2.246,1.925142857,0.85
e20,n4,n20,SH.Mahallati,TRUE,2.804,2.403428571,0.6
e21,n7,n20,Emam Ali,TRUE,2.16,1.851428571,0.85
e22,n8,n20,17 Shahrivar,TRUE,1.544,1.323428571,0.6
e23,n20,n21,17 Shahrivar,TRUE,1.567,1.343142857,0.6
e24,n22,n23,30 metri,TRUE,1.557,1.334571429,0.3
e25,n22,n24,Piroozi,TRUE,3.984,3.414857143,0.6
e26,n21,n24,17 Shahrivar,TRUE,1.517,1.300285714,0.6
e27,n19,n24,SH.Mostafa Khomeini,TRUE,3.173,2.719714286,0.85
e28,n25,n26,Enghelab,TRUE,2.371,2.032285714,0.85
e29,n18,n26,Valiasr,TRUE,1.557,1.334571429,0.85
e30,n26,n27,Enghelab,TRUE,1.809,1.550571429,0.85
e31,n27,n28,Azadi,TRUE,5.954,5.103428571,0.85
e32,n17,n28,A.Saeedi,TRUE,3.409,2.922,0.6
e33,n15,n28,SH.Lashgari,TRUE,8.229,7.053428571,0.6
e34,n16,n29,A.Mahdavi Kani,TRUE,6.566,5.628,0.6
e35,n28,n30,SH.Bakeri,TRUE,6.424,5.506285714,0.6
e36,n31,n32,SH.Fazl Allah Noori,TRUE,2.371,2.032285714,0.85
e37,n27,n32,SH.Chamran,TRUE,3.054,2.617714286,0.6
e38,n27,n33,SH.Chamran,TRUE,2.267,1.943142857,0.6
e39,n25,n34,SH.Mofateh,TRUE,3.505,3.004285714,0.6
e40,n34,n35,SH.Ghodousi,TRUE,2.537,2.174571429,0.6
e41,n23,n36,Emamat,TRUE,1.888,1.618285714,0.3
e42,n38,n39,SH.Zein Aldin,TRUE,4.248,3.641142857,0.6
e43,n39,n40,SH.Soleimani,TRUE,2.789,2.390571429,1
e44,n36,n40,Ayat,TRUE,1.2,1.028571429,0.3
e45,n40,n41,Janbazan,TRUE,2.149,1.842,0.6
e46,n34,n42,SH.Motahari,TRUE,2.426,2.079428571,0.85
e47,n31,n43,Yadegar Emam,TRUE,2.342,2.007428571,0.6
e48,n32,n43,SH.Fazl Allah Noori,TRUE,3.224,2.763428571,0.85
e49,n43,n44,A.Hakim,TRUE,3.924,3.363428571,1
e50,n28,n44,SH.Bakeri,TRUE,6.798,5.826857143,0.6
e51,n30,n44,SH.Bakeri,TRUE,2.55,2.185714286,0.6
e52,n43,n45,Yadegar Emam,TRUE,2.557,2.191714286,0.6
e53,n45,n46,SH.Hemmat,TRUE,3.176,2.722285714,1
e54,n34,n47,SH.Modarres,TRUE,3.11,2.665714286,0.6
e55,n41,n47,SH.Soleimani,TRUE,4.789,4.104857143,1
e56,n47,n48,SH.Hemmat,TRUE,4.085,3.501428571,1
e57,n39,n48,SH.Zein Aldin,TRUE,5.237,4.488857143,0.6
e58,n48,n49,Emam Ali,TRUE,5.155,4.418571429,0.85
e59,n49,n50,SH.Babaee,TRUE,3.47,2.974285714,0.85
e60,n50,n51,SH.Sayad Shirazi,TRUE,2.682,2.298857143,0.85
e61,n50,n52,SH.Sadr,TRUE,2.438,2.089714286,1
e62,n52,n53,Shariati,TRUE,1.943,1.665428571,0.6
e63,n47,n53,Shariati,TRUE,2.558,2.192571429,0.6
e64,n47,n54,SH.Modarres,TRUE,4.229,3.624857143,0.6
e65,n45,n55,Yadegar Emam,TRUE,4.086,3.502285714,0.6
e66,n54,n56,SH.Modarres,TRUE,2.755,2.361428571,0.6
