id,name,lat,lon
n1,Afsarieh,35.654,51.493
n2,Masoudieh,35.63,51.497
n3,Moshirieh,35.624,51.477
n4,Abouzar,35.679,51.48
n5,Dolat Abad,35.621,51.451
n6,Kianshahr,35.634,51.453
n7,Minabi,35.651,51.456
n8,Shoosh,35.657,51.445
n9,Javadieh,35.653,51.397
n10,Nazi Abad,35.641,51.402
n11,Yakhchi Abad,35.626,51.405
n12,Khani Abad,35.627,51.389
n13,Yaft Abad,35.645,51.302
n14,Khalij Fars,35.67,51.256
n15,Shahrak Esteghlal,35.702,51.226
n16,Chitgar,35.728,51.193
n17,Mehr Abad,35.68,51.337
n18,Monirieh,35.684,51.402
n19,Bazar,35.672,51.422
n20,Aref,35.67,51.451
n21,Shokoufeh,35.684,51.449
n22,Piroozi,35.688,51.484
n23,Niroohavayi,35.702,51.484
n24,Darvaze Shemiran,35.696,51.441
n25,Baharestan,35.695,51.428
n26,Enghelab,35.698,51.402
n27,Jomhouri,35.697,51.382
n28,Shahrak Ekbatan,35.706,51.317
n29,Zibadasht,35.751,51.26
n30,Shahran,35.758,51.286
n31,Sadeghieh,35.719,51.342
n32,Tehran Vila,35.722,51.368
n33,Keshavarz,35.712,51.399
n34,Abbas Abad,35.726,51.435
n35,Sabalan,35.724,51.463
n36,Narmak,35.718,51.491
n37,Zeinabieh,35.709,51.507
n38,Hakimieh,35.736,51.573
n39,Tehranpars,35.734,51.526
n40,Madaen,35.728,51.496
n41,Kerman,35.733,51.473
n42,Yousef Abad,35.734,51.41
n43,Marzdaran,35.74,51.34
n44,Janat Abad,35.767,51.312
n45,Pounak,35.763,51.34
n46,Shahrak Ghods,35.76,51.375
n47,Seyed Khandan,35.753,51.426
n48,Kazem Abad,35.749,51.471
n49,Ozgol,35.785,51.507
n50,Farmanieh,35.796,51.471
n51,Pasdaran,35.772,51.468
n52,Gheitarieh,35.79,51.445
n53,Gholhak,35.773,51.44
n54,Tajrish,35.791,51.428
n55,Saadat Abad,35.783,51.378
n56,Velenjak,35.804,51.402
n57,115,35.754,51.55
n58,115,35.726,51.512
n59,115,35.712,51.481
n60,115,35.697,51.494
n61,115,35.687,51.47
n62,115,35.718,51.513
n63,115,35.684,51.482
n64,115,35.678,51.466
n65,115,35.731,51.471
n66,115,35.737,51.376
n67,115,35.722,51.406
n68,115,35.702,51.401
n69,115,35.695,51.436
n70,115,35.681,51.425
n71,115,35.69,51.391
n72,115,35.656,51.419
n73,115,35.655,51.448
n74,115,35.754,51.414
n75,115,35.772,51.377
n76,115,35.765,51.324
n77,115,35.755,51.276
n78,115,35.713,51.332
n79,115,35.639,51.392
n80,115,35.637,51.335
n81,115,35.642,51.485
n82,115,35.626,51.452
n83,115,35.673,51.306
n84,115,35.781,51.436
n85,115,35.763,51.469
